hhid,areaid,treatment,hh_edu,hh_gender,hh_size,children,old_biz,area_pop_base,area_debt_total_base,area_business_total_base,area_exp_pc_mean_base,area_literate_head_base,area_literate_base,anyloan_amt_2,informal_amt_2,female_biz_pct_2,hours_week_2,durables_exp_mo_2,temptation_exp_mo_2,total_exp_mo_2,bizprofit_2,bizrev_2,bizemployees_2,girls_school_2,bizassets_2
2527,38,0,0.0,1.0,1.0,2.0,0.0,0,2,3,1,1,0,0.0,0.0,,48.0,41.648945,0.0,2600.005,0.0,0.0,0.0,1.0,0.0
2528,38,0,0.0,1.0,2.0,1.0,0.0,0,2,3,1,1,0,10000.0,0.0,,54.0,197.8325,2498.9368,9400.027,0.0,0.0,0.0,0.0,0.0
2529,43,0,0.0,1.0,3.0,0.0,0.0,3,0,2,2,1,3,73000.0,42481.92535682485,,16.0,208.24474,0.0,5224.8604,0.0,0.0,0.0,0.0,0.0
2530,43,0,0.0,1.0,2.0,2.0,0.0,3,0,2,2,1,3,841600.0,173842.70239155582,,0.0,79.82715,166.59578,8921.065,0.0,0.0,0.0,,0.0
2531,43,0,0.0,1.0,3.0,2.0,1.0,3,0,2,2,1,3,110000.0,83297.89285651932,0.0,150.0,5483.778,333.19156,11457.625,0.0,7496.8105,0.0,0.5,20824.473
2533,43,0,0.0,1.0,3.0,2.0,0.0,3,0,2,2,1,3,320000.0,0.0,,48.0,69.41491,249.89368,16625.426,0.0,0.0,0.0,,0.0
2534,43,0,0.0,1.0,2.0,3.0,0.0,3,0,2,2,1,3,10700.0,8912.874535647567,1.0,48.0,950.9843,712.19696,8465.704,1999.1494,7913.3,0.0,1.0,6830.4272
2535,43,0,0.0,1.0,3.0,2.0,0.0,3,0,2,2,1,3,0.0,0.0,,144.0,624.7342,49.978737,8481.114,0.0,0.0,0.0,,0.0
2537,43,0,1.0,1.0,2.0,0.0,0.0,3,0,2,2,1,3,6600.0,1665.9578571303864,,83.0,145.77132,249.89368,4412.289,0.0,0.0,0.0,,0.0
2538,43,0,1.0,0.0,2.0,1.0,0.0,3,0,2,2,1,3,756000.0,625567.1753524601,0.5,124.0,0.0,0.0,3078.6902,0.0,0.0,0.0,0.0,0.0
