,n_per_pol,sim_num,MSE,IOU,min_dosage,best_pol_diff
234,1000,34,1.0016800438934994,1.0,True,-0.03704560447547145
235,1000,35,1.0016800438934994,1.0,True,-0.03704560447547145
236,1000,36,1.0016800438934994,1.0,True,-0.03704560447547145
237,1000,37,1.0016800438934994,1.0,True,-0.03704560447547145
238,1000,38,1.0016800438934994,1.0,True,-0.03704560447547145
239,1000,39,1.0016800438934994,1.0,True,-0.03704560447547145
240,1000,40,1.0016800438934994,1.0,True,-0.03704560447547145
241,1000,41,1.0016800438934994,1.0,True,-0.03704560447547145
242,1000,42,1.0016800438934994,1.0,True,-0.03704560447547145
243,1000,43,1.0016800438934994,1.0,True,-0.03704560447547145
244,1000,44,1.0016800438934994,1.0,True,-0.03704560447547145
245,1000,45,1.0016800438934994,1.0,True,-0.03704560447547145
246,1000,46,1.0016800438934994,1.0,True,-0.03704560447547145
247,1000,47,1.0016800438934994,1.0,True,-0.03704560447547145
248,1000,48,1.0016800438934994,1.0,True,-0.03704560447547145
249,1000,49,1.0016800438934994,1.0,True,-0.03704560447547145
250,1000,50,1.0016800438934994,1.0,True,-0.03704560447547145
251,1000,51,1.0016800438934994,1.0,True,-0.03704560447547145
252,1000,52,1.0016800438934994,1.0,True,-0.03704560447547145
253,1000,53,1.0016800438934994,1.0,True,-0.03704560447547145
254,1000,54,1.0016800438934994,1.0,True,-0.03704560447547145
255,1000,55,1.0016800438934994,1.0,True,-0.03704560447547145
256,1000,56,1.0016800438934994,1.0,True,-0.03704560447547145
257,1000,57,1.0016800438934994,1.0,True,-0.03704560447547145
258,1000,58,1.0016800438934994,1.0,True,-0.03704560447547145
259,1000,59,1.0016800438934994,1.0,True,-0.03704560447547145
260,1000,60,1.0016800438934994,1.0,True,-0.03704560447547145
261,1000,61,1.0016800438934994,1.0,True,-0.03704560447547145
262,1000,62,1.0016800438934994,1.0,True,-0.03704560447547145
263,1000,63,1.0016800438934994,1.0,True,-0.03704560447547145
264,1000,64,1.0016800438934994,1.0,True,-0.03704560447547145
265,1000,65,1.0016800438934994,1.0,True,-0.03704560447547145
266,1000,66,1.0016800438934994,1.0,True,-0.03704560447547145
267,1000,67,1.0016800438934994,1.0,True,-0.03704560447547145
268,1000,68,1.0016800438934994,1.0,True,-0.03704560447547145
269,1000,69,1.0016800438934994,1.0,True,-0.03704560447547145
270,1000,70,1.0016800438934994,1.0,True,-0.03704560447547145
271,1000,71,1.0016800438934994,1.0,True,-0.03704560447547145
272,1000,72,1.0016800438934994,1.0,True,-0.03704560447547145
273,1000,73,1.0016800438934994,1.0,True,-0.03704560447547145
274,1000,74,1.0016800438934994,1.0,True,-0.03704560447547145
275,1000,75,1.0016800438934994,1.0,True,-0.03704560447547145
276,1000,76,1.0016800438934994,1.0,True,-0.03704560447547145
277,1000,77,1.0016800438934994,1.0,True,-0.03704560447547145
278,1000,78,1.0016800438934994,1.0,True,-0.03704560447547145
279,1000,79,1.0016800438934994,1.0,True,-0.03704560447547145
280,1000,80,1.0016800438934994,1.0,True,-0.03704560447547145
281,1000,81,1.0016800438934994,1.0,True,-0.03704560447547145
282,1000,82,1.0016800438934994,1.0,True,-0.03704560447547145
283,1000,83,1.0016800438934994,1.0,True,-0.03704560447547145
284,1000,84,1.0016800438934994,1.0,True,-0.03704560447547145
285,1000,85,1.0016800438934994,1.0,True,-0.03704560447547145
286,1000,86,1.0016800438934994,1.0,True,-0.03704560447547145
287,1000,87,1.0016800438934994,1.0,True,-0.03704560447547145
288,1000,88,1.0016800438934994,1.0,True,-0.03704560447547145
289,1000,89,1.0016800438934994,1.0,True,-0.03704560447547145
290,1000,90,1.0016800438934994,1.0,True,-0.03704560447547145
291,1000,91,1.0016800438934994,1.0,True,-0.03704560447547145
292,1000,92,1.0016800438934994,1.0,True,-0.03704560447547145
293,1000,93,1.0016800438934994,1.0,True,-0.03704560447547145
294,1000,94,1.0016800438934994,1.0,True,-0.03704560447547145
295,1000,95,1.0016800438934994,1.0,True,-0.03704560447547145
296,1000,96,1.0016800438934994,1.0,True,-0.03704560447547145
297,1000,97,1.0016800438934994,1.0,True,-0.03704560447547145
298,1000,98,1.0016800438934994,1.0,True,-0.03704560447547145
299,1000,99,1.0016800438934994,1.0,True,-0.03704560447547145
300,5000,0,0.9985152803355991,1.0,True,-0.00961127045740362
301,5000,1,0.9985152803355991,1.0,True,-0.00961127045740362
302,5000,2,0.9985152803355991,1.0,True,-0.00961127045740362
303,5000,3,0.9985152803355991,1.0,True,-0.00961127045740362
304,5000,4,0.9985152803355991,1.0,True,-0.00961127045740362
